datetime,store_id,store_taxonomies,customer_id,customer_taxonomies,product_id,product_taxonomies,action,elasticity_type,current_discount_pct,recommended_discount_pct,expected_revenue_change_pct,expected_profit_change_pct,base_qty,simulated_qty,base_revenue,base_profit,simulated_revenue,simulated_profit,estimated_discount_cost
2024-06-28 17:05:00,S10,specialty,C0312,occasional,P001,commodity,Increase Discount,elastic,0.0,4,2.7,0.5,6,6.42,850.62,561.41,873.76,564.3,36.41
2024-05-24 14:24:00,S10,specialty,C0361,loyal,P001,commodity,Increase Discount,elastic,0.0,4,2.7,0.5,6,6.42,850.62,561.41,873.76,564.3,36.41
2024-05-28 16:52:00,S15,specialty,C0419,at_risk,P001,commodity,Increase Discount,elastic,0.0,4,2.7,0.5,8,8.56,1134.16,748.55,1165.01,752.4,48.54
2024-03-06 10:36:00,S05,specialty,C0284,at_risk,P001,commodity,Increase Discount,elastic,0.0,4,2.7,0.5,10,10.7,1417.7,935.68,1456.26,940.5,60.68
2024-04-23 14:18:00,S19,mini_mart,C0224,at_risk,P001,commodity,Increase Discount,elastic,0.0,4,2.7,0.5,7,7.49,992.39,654.98,1019.38,658.35,42.47
2024-11-30 11:28:00,S05,specialty,C0423,new,P001,commodity,Increase Discount,elastic,0.0,4,2.7,0.5,8,8.56,1134.16,748.55,1165.01,752.4,48.54
2024-10-21 11:58:00,S11,hypermarket,C0406,loyal,P001,commodity,Increase Discount,elastic,0.0,4,2.7,0.5,7,7.49,992.39,654.98,1019.38,658.35,42.47
2024-02-28 09:00:00,S07,convenience,C0220,churned,P001,commodity,Increase Discount,elastic,0.0,4,2.7,0.5,9,9.63,1275.93,842.11,1310.64,846.45,54.61
2024-04-10 19:19:00,S16,hypermarket,C0219,at_risk,P001,commodity,Increase Discount,elastic,0.0,4,2.7,0.5,7,7.49,992.39,654.98,1019.38,658.35,42.47
2024-09-27 14:28:00,S01,hypermarket,C0046,loyal,P001,commodity,Increase Discount,elastic,0.0,4,2.7,0.5,12,12.84,1701.24,1122.82,1747.51,1128.6,72.81
2024-08-01 14:55:00,S01,hypermarket,C0420,churned,P001,commodity,Increase Discount,elastic,0.0,4,2.7,0.5,7,7.49,992.39,654.98,1019.38,658.35,42.47
